"","WEATHER_CONDITION","CRASH_HOUR","LATITUDE","LONGITUDE"
"511","CLEAR",15,41.789206793,-87.649743065
"512","CLEAR",0,42.006330563,-87.68052032
"513","CLEAR",18,41.802870817,-87.684416342
"514","CLEAR",4,41.666532156,-87.554495946
"515","CLEAR",12,41.939545469,-87.668804081
"516","CLEAR",18,41.991448058,-87.699579766
"517","CLEAR",5,41.88180995,-87.736245751
"518","CLEAR",22,41.815197292,-87.606530889
"519","CLEAR",3,41.792844313,-87.762366679
"520","CLEAR",14,41.779099677,-87.687059971
"521","CLEAR",9,41.844686619,-87.702187623
"522","CLEAR",16,41.814643226,-87.623126734
"523","CLEAR",6,41.959272896,-87.705679925
"524","CLEAR",11,41.932716877,-87.663431192
"525","CLEAR",21,41.894187261,-87.709103271
"526","CLEAR",0,41.756494207,-87.61390148
"527","CLEAR",12,41.895053731,-87.755225291
"528","CLEAR",7,41.776883052,-87.766367214
"529","CLEAR",14,41.928704262,-87.665775943
"530","CLEAR",15,41.917649426,-87.677556283
"531","CLEAR",7,41.793000424,-87.647409177
"532","CLEAR",1,41.870725253,-87.764274273
"533","CLEAR",20,41.876038897,-87.701019385
"534","CLEAR",16,41.703272316,-87.524587387
"535","CLEAR",21,41.894103382,-87.745630463
"536","CLEAR",16,41.877037653,-87.625912004
"537","CLEAR",7,41.882196318,-87.760258412
"538","CLEAR",11,41.997031588,-87.683911118
"539","CLEAR",19,41.966011401,-87.836831169
"540","CLEAR",17,41.935642828,-87.643602951
"541","CLEAR",1,41.760826394,-87.706308722
"542","CLEAR",16,41.966243191,-87.725676904
"543","CLEAR",13,41.873949467,-87.661928066
"544","CLEAR",11,41.939852081,-87.650653329
"545","CLEAR",12,41.88744105,-87.757830488
"546","CLEAR",0,41.7702076,-87.670178431
"547","CLEAR",0,41.88397128,-87.764843565
"548","CLEAR",7,41.700996188,-87.687995499
"549","CLEAR",8,41.758237632,-87.631413655
"550","CLEAR",15,41.936307879,-87.726957328
"551","CLEAR",16,41.925613252,-87.635884789
"552","CLEAR",5,41.777748402,-87.664027401
"553","CLEAR",17,41.815326234,-87.705630406
"554","CLEAR",13,41.795572249,-87.762516294
"555","CLEAR",15,41.795130434,-87.627946474
"556","CLOUDY/OVERCAST",15,41.960831356,-87.747599199
"557","CLEAR",19,41.789233549,-87.616438504
"558","CLEAR",22,41.936778814,-87.795507394
"559","CLEAR",3,41.743561807,-87.624475801
"560","CLEAR",10,41.751257662,-87.599267082
"561","RAIN",3,41.875756255,-87.61751568
"562","CLEAR",5,41.726318823,-87.604719431
"563","CLEAR",0,41.774922995,-87.74232096
"564","CLEAR",4,41.808047272,-87.704118822
"565","CLEAR",15,41.717837057,-87.52716811
"566","CLOUDY/OVERCAST",14,41.903925136,-87.724977026
