Latitude,Longitude,crime_hour
41.859809525,-87.705483628,14
41.795991039,-87.630542489,15
41.964921091,-87.708361279,18
41.894824927,-87.631788635,19
41.895479821,-87.714177247,18
41.732579998,-87.585555515,4
41.893623014,-87.765347251,20
41.745645032,-87.614264836,14
41.798538563,-87.664702422,0
41.878113223,-87.634156272,8
41.756541538,-87.560007049,7
41.781203314,-87.615649592,13
41.733013734,-87.603502581,15
41.763713079,-87.565430089,10
41.776918077,-87.679793478,16
41.891412551,-87.647934597,15
41.891412551,-87.647934597,15
41.776918077,-87.679793478,16
41.847978997,-87.720210611,12
41.757630995,-87.585708249,15
41.7702494,-87.674501744,20
41.926215267,-87.649840538,10
41.898767916,-87.624116333,13
41.787245458,-87.698499223,11
41.960869336,-87.73489906,18
41.89318177,-87.6345943,23
41.924467566,-87.798935588,2
41.87926429,-87.743945195,11
41.681732837,-87.642041028,18
41.878123916,-87.633208786,14
41.736558872,-87.556949319,20
41.897616364,-87.762123615,21
41.733088802,-87.552711915,23
41.795991039,-87.630542489,12
41.778793876,-87.660551996,13
41.795991039,-87.630542489,13
41.823536688,-87.616989442,13
41.656657626,-87.605130097,20
41.883007148,-87.685312534,23
41.920067895,-87.712602133,23
41.760426043,-87.686796556,0
41.694902715,-87.657699542,1
41.878123916,-87.633208786,12
41.747619058,-87.693785075,8
41.748699846,-87.741318814,15
41.750785006,-87.581661238,14
41.908334743,-87.760896569,16
41.908334743,-87.760896569,16
41.859290468,-87.673592243,23
41.939899462,-87.766546647,10
41.854467164,-87.713699355,14
41.859290468,-87.673592243,20
41.795991039,-87.630542489,12
41.926762274,-87.64219854,23
41.819011385,-87.604772103,14
41.83485985,-87.681552832,18
41.908334743,-87.760896569,22
41.919006711,-87.725582783,11
41.971041686,-87.708547831,0
41.767474984,-87.671172386,10
41.902738743,-87.718338869,10
41.73694593,-87.652155221,9
41.800089835,-87.706195287,10
41.880992442,-87.704486793,7
41.88360569,-87.707634031,1
41.894917016,-87.757376511,15
41.951699691,-87.655670827,17
41.8751369,-87.735971224,22
41.76551076,-87.60507347,4
41.899695895,-87.722548188,12
41.737248144,-87.561905643,10
41.759498301,-87.615147453,16
41.843562104,-87.642155151,22
41.888993854,-87.626934833,0
41.888993854,-87.626934833,4
41.749990864,-87.686073062,12
41.939388934,-87.698855892,20
41.776891531,-87.684794441,11
41.771578336,-87.650648841,21
41.704055157,-87.536492458,23
41.888993854,-87.626934833,21
42.016465687,-87.680813065,8
41.878604157,-87.685096307,22
41.893623014,-87.765347251,7
41.887954682,-87.635609797,9
41.728074176,-87.617054509,21
41.749681142,-87.673117976,23
41.87794002,-87.647759117,22
41.786980919,-87.615790496,23
41.786980919,-87.615790496,23
42.014255166,-87.806607683,23
41.782136623,-87.666706097,22
41.778158189,-87.594598867,18
41.850553906,-87.719844675,10
41.939920598,-87.653193291,11
41.87926429,-87.743945195,13
41.820646175,-87.684753013,13
41.750464158,-87.599097888,18
41.879811873,-87.721661659,13
41.768599207,-87.660618203,14
41.767116798,-87.570906274,0
41.783276387,-87.623784561,12
41.884775496,-87.641281455,19
41.87926429,-87.743945195,11
41.739332692,-87.730082896,12
41.819656017,-87.628478823,21
41.685720813,-87.614383328,20
41.749467765,-87.604236059,17
41.776099824,-87.645402292,0
41.757630995,-87.585708249,5
41.775015522,-87.683530209,20
41.888993854,-87.626934833,21
41.880716129,-87.726581034,17
41.884152048,-87.672884839,17
41.78366949,-87.594718935,16
41.781789138,-87.575260571,1
41.857860941,-87.662264109,4
41.972902438,-87.774598218,3
41.751505533,-87.583994603,14
41.906797102,-87.671861659,13
41.900025813,-87.675942717,2
41.749467765,-87.604236059,15
41.896351852,-87.721224706,10
41.87980496,-87.773012089,21
41.745597247,-87.598900499,22
41.888993854,-87.626934833,0
41.779201821,-87.687645566,23
41.899695895,-87.722548188,8
41.745194568,-87.590477001,14
41.776136066,-87.708925357,12
41.87926429,-87.743945195,19
41.79329893,-87.66456619,20
41.913694574,-87.785148671,23
41.837851739,-87.713393614,18
41.87926429,-87.743945195,19
41.770732791,-87.609358427,17
41.819011385,-87.604772103,23
41.939104022,-87.647857831,15
41.843732452,-87.712331265,7
41.83471331,-87.622607577,21
41.81427349,-87.622969326,20
41.976454319,-87.901364605,7
41.895721019,-87.767855681,11
41.859830032,-87.622369898,17
41.84135787,-87.728120024,14
41.888732656,-87.721003641,16
41.866428839,-87.703509785,18
41.863934894,-87.71778941,19
41.87926429,-87.743945195,18
41.924250576,-87.745545036,4
41.959729088,-87.729391056,7
41.773230161,-87.687144565,18
41.76261474,-87.652840463,16
41.795991039,-87.630542489,20
41.779488407,-87.663408151,20
41.880992442,-87.704486793,23
41.79329893,-87.66456619,22
41.899321334,-87.693081715,13
41.897855224,-87.723715412,12
41.962423434,-87.708282737,12
41.895479821,-87.714177247,13
41.992622791,-87.668612113,10
41.785951755,-87.692362905,13
41.939300241,-87.711739358,15
41.768965054,-87.568219399,12
41.843471069,-87.708663794,21
41.834474256,-87.724298893,23
41.795991039,-87.630542489,10
41.811364344,-87.605834495,8
41.771156163,-87.67470142,9
41.935228634,-87.721084643,14
41.976713814,-87.702001359,14
41.942417877,-87.702718395,20
41.945411055,-87.653535603,22
41.898767916,-87.624116333,23
41.890688556,-87.667135847,19
41.74792601,-87.663373604,6
41.734847232,-87.545777045,3
41.890688556,-87.667135847,22
41.859877252,-87.71036164,10
41.891412551,-87.647934597,13
41.989243623,-87.665119726,15
41.894121219,-87.712614696,19
41.783276387,-87.623784561,12
41.923681903,-87.645171455,1
41.711955296,-87.610241778,12
41.888873651,-87.722228942,12
41.711955296,-87.610241778,13
41.711955296,-87.610241778,15
41.889582108,-87.626649232,5
41.976454319,-87.901364605,9
41.730897108,-87.562208778,10
41.81427349,-87.622969326,8
41.89983415,-87.723777401,13
41.781203314,-87.615649592,22
41.811418107,-87.600907549,18
41.830490151,-87.646100807,16
41.795991039,-87.630542489,17
41.993158164,-87.65831019,11
41.811364344,-87.605834495,19
41.795991039,-87.630542489,18
41.96478141,-87.697912745,21
41.806159473,-87.643819065,7
41.871075543,-87.694689104,9
41.877161446,-87.676536946,9
41.759693428,-87.584669047,17
41.806961909,-87.717425445,9
41.87926429,-87.743945195,14
41.824844967,-87.633789553,16
41.878123916,-87.633208786,12
41.885688435,-87.751451332,20
41.781203314,-87.615649592,21
41.763713079,-87.565430089,23
41.691545773,-87.702490973,2
41.890688556,-87.667135847,21
41.877161446,-87.676536946,8
41.76888502,-87.615343355,8
41.986392486,-87.656700734,10
41.944721613,-87.656678381,20
41.751505533,-87.583994603,8
41.87926429,-87.743945195,11
41.943126331,-87.767591377,18
41.8069545,-87.651498476,21
41.757630995,-87.585708249,21
41.806824289,-87.622769196,9
41.976454319,-87.901364605,13
41.857053594,-87.724209515,15
41.810156082,-87.606578116,16
41.834474256,-87.724298893,0
41.943720372,-87.659078198,20
41.983750044,-87.775113941,15
41.884410376,-87.653664839,15
41.692645847,-87.698430704,2
41.660436006,-87.549549833,22
41.678040266,-87.621573996,6
41.843470224,-87.734262048,8
41.949466613,-87.69014293,23
41.939920598,-87.653193291,17
41.906797102,-87.671861659,3
41.722077487,-87.556592525,0
41.87980496,-87.773012089,16
